                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0933,                 1.7904,                 1.2974,                0.94918,                 0.9593,                0.97488,                0.76049,                0.83022,                 0.9511,                 1.0623,              0.0033268,              0.0033268,              0.0033268
                      2,                0.92293,                0.91573,                 1.1268,                0.94303,                0.96851,                0.97698,                0.79085,                0.75064,                0.61549,                 1.0188,              0.0065942,              0.0065942,              0.0065942
                      3,                0.94304,                0.77055,                 1.1428,                0.96135,                0.95168,                0.97883,                 0.7765,                0.80717,                0.54919,                 1.0739,              0.0097956,              0.0097956,              0.0097956
                      4,                0.94116,                0.67831,                 1.1442,                0.94369,                0.94638,                0.97345,                 0.7805,                0.75974,                0.45981,                 1.0539,               0.009703,               0.009703,               0.009703
                      5,                0.88832,                0.60673,                 1.1164,                0.95269,                0.95922,                 0.9758,                0.79648,                 0.7451,                0.43646,                 1.0321,               0.009703,               0.009703,               0.009703
                      6,                0.85168,                   0.57,                 1.0983,                0.95107,                 0.9671,                0.98253,                0.81093,                0.68859,                 0.4045,                  1.002,               0.009604,               0.009604,               0.009604
                      7,                0.82495,                0.54304,                 1.0857,                 0.9538,                0.96295,                0.98175,                0.82628,                0.66947,                0.39122,                0.98264,               0.009505,               0.009505,               0.009505
                      8,                0.80064,                0.51831,                 1.0776,                0.95423,                0.97766,                0.98474,                0.83385,                0.65159,                0.35746,                0.97664,               0.009406,               0.009406,               0.009406
                      9,                0.78725,                0.50529,                 1.0668,                0.95728,                0.97976,                0.98736,                0.84597,                0.62766,                0.34302,                 0.9512,               0.009307,               0.009307,               0.009307
                     10,                0.76583,                0.48679,                 1.0534,                0.95756,                0.97827,                0.98378,                0.84092,                0.61822,                0.33083,                0.94615,               0.009208,               0.009208,               0.009208
